大洋世家,大洋世家,大洋世家是一家位于广州市的餐厅，人均消费139元。
獐子岛,獐子岛,獐子岛位于辽宁省大连市长山群岛的最南端，由獐子岛、褡裢岛、大耗子岛、小耗子岛等四个岛屿组成，距离大连56海里。獐子岛上有金沙滩浴场、鸭石旅游度假村、风力发电工程、鹰嘴石森林公园、滨海路等观光景点，岛上有渔家乐可以品尝地道的渔家美食。岛上的獐子岛渔民节、渔家秧歌婚礼，让游客可以更多地体验渔家风情。
晓芹,晓芹,晓芹是大连晓芹食品有限公司董事长兼总经理，大连海参商会副会长，大连市金州区人大代表，大连市特等五一劳动奖章获得者，CCTV首届全国十大三农致富榜样获得者，创业多年来，她全心投入到自己的事业之中，在全国开设了几十个"店中店"，打造了企业的销售网络和品牌形象。
海晏堂,海晏堂,圆明园古迹海晏堂“海晏”一词取意“河清海晏，国泰民安”。《文苑英华》唐郑锡《日中有王字赋》：“河清海晏，时和岁丰”河，黄河；晏，平静。“河清海晏”也作“海晏河清”，意指黄河水流澄清，大海风平浪静。此语用以比喻天下太平，有歌颂世界和平的吉祥涵义。中国皇家园林圆明园中观赏实用性建筑“海晏堂”之名也出于此。此建筑群的精华——十二生肖铜雕以水报时，闻名世界。
HYT,HYT,沃益多---HYT(HighYieldTechnology“高产技术”产品)是源于美国，由挪威AgrinosAS全球推广的高效微生物菌肥系列产品。沃益多(HYT)是由美国生物学家团队，经过数年研究开发出的高活性土壤微生物菌种，在上世纪90年代开始推广应用，在过去20年中不断发展成熟。沃益多产品实现了生物学和土壤微生物技术上的重大突破。
蓝雪,蓝雪,这套丛书主要是介绍使用母语写作的当代维吾尔、哈萨克等少数民族作家的作品，因此，它们实际上又是一套翻译文学丛书。
丰度,丰度,丰度 （即为该元素在自然体中的丰度abundanceofelements）是指一种化学元素在某个自然体中的重量占这个自然体总重量的相对份额（如百分数）。丰度表示方法主要分为重量丰度、原子丰度和相对丰度。词条详细介绍了研究元素丰度的意义、发现历史、以及地壳元素丰度等内容。
京东生鲜,京东生鲜,
Member's Mark,Member's Mark,
金鹏,广州金鹏集团有限公司,广州金鹏集团有限公司（以下简称“金鹏集团”）成立于1998年，是在工业和信息化部和广州市的大力支持下组建的主要从事数字化城市、通信两大产业的产品研究开发、工程设计、生产制造、安装和服务的高科技企业。经过多年的发展，依托金鹏集团设立的广东省移动通信技术研究开发中心及广东省重点企业技术中心这两个技术创新的重要载体，金鹏集团也已成为数字化城市和通信领域的知名企业，并朝着领先的数字化城市服务提供商迈进。
海天下,海天下,海天下（现更名为星海CEO公馆）项目位于大连市沙区星海湾商务中心区5号，东邻星海会展中心，北邻现代博物馆，西邻世纪经典和国航大厦。是由大连伟岸投资有限公司开发，大连金广建设集团承建。总占地1万5千平，建筑面积11万平方米。绿化率25.4%，容积率为6.5。周边多条公交线路，16路、23路、406路等。
那片海,那片海,《那片海》是一首选自韩红专辑《醒了》的国语歌曲，由韩红作词、作曲并演唱，在2001年5月1日由麒麟童唱片出版并发行，同时《那片海》有几个版本。《那片海》是《风雨中的美丽》之后又一首精心炮制的流行佳作，在同样执着的情感和动人的旋律下是韩红日渐成熟和深邃的内心世界，如果有机会一定要听一下韩红的钢琴自弹自唱版本，技巧虽不完美但别具韵味。 
三都港,三都港,三都港是居中国东部沿海中点位置的港湾。该港经金梭门水道转南向穿过东冲口直通东海，海域面积40.06平方公里，港深10米以上，最深处达51米，一般为30～50米，鸡公山西侧深达110米。三都港是福建省6个能进5～10万吨级轮船的天然深水港之一。1986年，上海港口专家认为，仅其中城澳5.5公里的岸线，就可建10万吨级以上的泊位15个。中国科学院院长郭沫若考察三都港，有诗赞曰:“良港三都举世无，水深湾阔似天湖。”
海边人,海边人,该剧通过革命烈士赵斌一家人的遭遇，讲述了生长在黄海边上的人们，为祖国的解放事业，前赴后继，不怕流血牺牲，在社会主义建设中历经磨砺、不懈追求的故事。
鲜元素,鲜元素,鲜元素，台商独资创办，主要经营带有外部软包装的即时性冷热饮品、经典冰品，于2008年初在北京成立了北京鲜元素饮品有限公司。
陆龙,陆龙,陆龙，字铁夫，江苏吴县（今苏州）人。寓居上海。山水宗四王。
味库,味库,味库 是一款美食APP，作为生鲜半成品净菜平台，以一道菜为单位将洗好、切好、配好的新鲜食材直接宅配到家。此外还提供菜谱搜索、智能组菜等功能，帮助用户避免家中食材的浪费。 新华网报道，作为国内最大生鲜半成品净菜平台的味库APP与中国人寿财险达成合作，强制要求所有入驻平台的食品供应商为自己的产品全部投保中国人寿财险食品安全责任险。用户在味库APP上购买的生鲜半成品净菜一旦出现食品安全问题，提交证明材料后中国人寿财险将按照保险合同相关约定承担保险责任，每一道菜品的最高保额为2万元。 
好当家,好当家,山东好当家海洋发展股份有限公司原名山东邱家水产股份有限公司，系经荣成市体改委荣体改生字第6号文批复，同意山东邱家水产股份有限公司以1999年12月31日为基准日进行分立；分立后续存的股份公司，股本为12000万元，并将名称变更为山东好当家海洋发展股份有限公司，2000年9月8日经山东省工商行政管理局变更注册登记，营业执照注册号为3700001805357。
ICEFRESH,ICEFRESH,ICEFRESH是一家来自挪威的生鲜品牌。2015年正式进入中国市场，ICEFRESH主要提供海鲜品。品类包括三文鱼、北极红点鲑、比目鱼、黄道蟹、鳕鱼、嘉鱼等海洋鱼。ICEFRESH以专利保鲜技术和配送系统，全程采用冷运宅配，经专用车载控温箱配送，同时每日将温度系数反馈给ICEFRESH，目前已在上海拥有50个以上配送中心。 
查干湖,查干湖,查干湖，原名查干泡、旱河，蒙古语为“查干淖尔”，意为白色圣洁的湖，大部位于吉林省西北部的前郭尔罗斯蒙古族自治县境内，西邻乾安县，北接大安市，处于嫩江与霍林河交汇的水网地区，是霍林河尾闾的一个堰塞湖。一般最大湖水面307平方公里，湖岸线蜿蜒曲折，周长达104.5公里。蓄水高程130米时，水面面积345平方公里。蓄水6亿多立方米，是全国十大淡水湖之一、吉林省内最大的天然湖泊。 查干湖资源多种多样，得天独厚。特别是渔业资源丰富。自辽金以来历代帝王都到查干湖“巡幸”和“渔猎”，举行“头鱼宴”和“头鹅宴”。元代至清初，这一带江流泡沼星罗棋布，银鱼穿梭，水草肥美，雁鸭栖集。沿岸林木蓊郁，田野芳草葳蕤，风景如画。是辽、金、元几代帝王巡幸游乐的渔猎之地。2007年8月1日，查干湖经国务院批准列为国家级自然保护区。而以查干湖冬捕为标志的渔猎文化也成为其文化遗产之一。 
天海藏,天海藏,
美加佳,美加佳,美加佳，1990年3月21日出生于上海市，中国内地女演员。从小参加多部影视作品的拍摄。平时有弹吉他创作歌曲等爱好，是个圈内人一致评为的小才女。长不大的娃娃脸和纯净的眼神是其标志性特点。出生于上海，祖籍山东。原为上海世创影音制作有限公司签约歌手，SweetHeart甜心少女组合中心成员。 
沃派,沃派,“沃派”是联通首次统一发布的青少年品牌，具有低资费、高流量、高通话时长等特点。其门槛低，是一款适合学生及低消费群体的入门级手机套餐。
水娃娃,水娃娃,大连水娃娃海产品有限公司成立于2002年8月，地理位置位于辽东半岛东岸，北纬39°、东经122°，与长海县的广鹿岛、大长山岛隔海相望。基地占地面积5000余亩，这里自然生态环境优美，年平均水温在11C左右，水体平均盐度为31‰，水质营养丰富，各类浮游生物种类繁多，是得天独厚的天然养殖场。基地自创立之初就充分利用该海域处于‘大连海参’地理标志的核心区域这一优势，紧密依托大连水产学院等大专院校、科研单位专家，通过建立实验室、加工厂，开展国内、国际合作交流等方式，如今已发展成了产、供、销为一体的现代化海参养殖示范基地。该基地推出的加工产品‘水娃娃海参’系列产品，一经推向市场，立即受到广大市民的普遍好评，正是由于基地处于北纬39°这一得天独厚的资源优势以及细节决定品质的企业理念，成就了如今‘水娃娃海参’舍我其谁的优良品质。
上品堂,上品堂,上品堂是1998年推出的海参产品品牌。品牌涵盖“纯干海参”、“即食海参”、“鲜食海参”等多样产品。 
财神岛,财神岛,财神岛集团始创于一九九六年。经过10多年经营，财神岛公司不断发展壮大并升级为实力超凡的企业集团。财神岛集团始终专注于纯干海参品质，并一直将产品质量视为企业第一生命，凭借9年淡干海参卓越品质脱颖而出，成为整个行业干参产品领袖企业，2012年成为中国驰名商标。
广参堂,广参堂,2011年3月18日，广参堂海参与大连海岛生物有限公司强强联手，成立了大连广参堂海洋珍品有限公司，成为集深海养殖、深海捕捞、精深加工、产品研发生产及品牌营销为一体的综合性海产品公司。
元气小猴,元气小猴,元气小猴是新余市的一家快餐店，提供在线菜单。
棒棰岛,棒棰岛,棒棰岛 位于大连市滨海路东段，大连市东南约5公里处。是一处以山、海、岛、滩为主要景观的风景胜地。这里三面环山，一面濒海；北面为群山环绕，南面是开阔的海域和凹凸不平的鹅卵石滩。棒槌岛名字的来历是因离岸500米远处的海面上有一小岛突兀而立，远远望去，极象农家捣衣服用的一根棒槌，故称棒槌岛。岛上主峰海拔48.1米，登临其上，市区景色和海滨风光尽收眼底。岛上散布着风格各异的别墅群，有如鲜花散落在如茵的草地上，这就是著名的棒棰岛宾馆，当年是国家领导人避暑疗养之地。
参王朝,参王朝,参王朝 是河北华煜兴旺商贸有限公司海鲜食品品牌，品牌注册号15304758。 
关东阁,关东阁,关东阁，是一家位于上海市的东北菜菜馆。适宜情侣约会、家庭聚会、朋友聚餐、休闲小憩、随便吃吃。
莫龙,莫龙,莫龙，男，1970年生，临床医学博士生，中南大学湘雅医院副教授。
同仁堂,同仁堂,北京同仁堂 是全国中药行业著名的老字号。创建于1669年（清康熙八年），自1723年开始供奉御药，历经八代皇帝188年。在300多年的风雨历程中，历代同仁堂人始终恪守“炮制虽繁必不敢省人工，品味虽贵必不敢减物力”的古训，树立“修合无人见，存心有天知”的自律意识，造就了制药过程中兢兢小心、精益求精的严细精神，其产品以“配方独特、选料上乘、工艺精湛、疗效显著”而享誉海内外，产品行销40多个国家和地区。 
TRT,TRT,TRT——(BlastFurnaceTopGasRecoveryTurbineUnit以下简称TRT)高炉煤气余压透平发电装置(即TRT)是利用高炉冶炼的副产品——高炉炉顶煤气具有的压力能及热能使煤气通过透平膨胀机做功将其转化为机械能，再将机械能转化为电能。 
趏,趏,基本字义1.瑟底的小孔。
大湖,洪泽湖,洪泽湖，中国第四大淡水湖。在江苏省西部淮河下游，苏北平原中部西侧，淮安、宿迁两市境内，地理位置在北纬33º06′—33º40′，东经118º10′—118º52′之间，为淮河中下游结合部。原为浅水小湖群，古称富陵湖，两汉以后称破釜塘，隋称洪泽浦，唐代始名洪泽湖。1128年以后，黄河南徙经泗水在淮阴以下夺淮河下游河道入海，淮河失去入海水道，在盱眙以东潴水，原来的小湖扩大为洪泽湖。洪泽湖湖面辽阔，资源丰富，历史悠久，既是淮河流域大型水库、航运枢纽，又是渔业、特产品、禽畜产品的生产基地，素有“日出斗金”的美誉。 
仙鹤岛,仙鹤岛,仙鹤岛位于向海保护区管理局西南4公里。三面环水，一面临山。岛上植被多样，灌木葱茏，环岛水域内，蒲草苇荡高可过人，茂密连片。良好的生态条件，为丹顶鹤等珍禽半散养提供了最佳场所。岛上共有野生动物十几种，200多只。全世界15种鹤，这里就有丹顶鹤、白鹤、灰鹤、蓑羽鹤、白头鹤、白枕鹤6种。这里的鹤不怕人，时而轻盈漫步，时而翩翩起舞，时而展翅高飞，带您进入“晴空一鹤排云上，便引诗情到碧霄”的美景。
桃李村,桃李村,桃李村民委员会，属于山区。距离村委会0.00公里距离镇15.00公里，国土面积45.89平方公里，海拔1697.00米，年平均气温17.30℃，年降水量910.00毫米，适宜种植水稻、玉米、烤烟等农作物。有耕地3449.00亩，其中人均耕地1.71亩；有林地55848.00亩。
渔公码头,渔公码头,大连渔公码头·九龙湾国际饭店成立于2005年，开业至今稳步发展，逐步成长为大连开发区最具竞争力的餐饮服务企业之一。酒店经营以餐饮为主，主营大连海鲜及大连老菜，客房为辅，99间山海景观客房深受新老朋友喜爱。在保留大连知名餐饮品牌特色的基础上，企业不断推陈出新，2013年，渔公码头以星级餐饮海鲜专业为基础，以大连及周边优势海鲜产区为依托，投入巨资成立渔公码头海洋生物食品有限公司，同年其海鲜礼盒产品投放市场，取得了很好的反响。
月亮湾,月亮湾风景区,月亮湾风景区位于离泾县县城18公里处的蔡村镇大康村，是国AA级旅游景区。驱车而至，扑面而来的是阵阵清风，夹杂着翠竹的清香；闯入眼帘的是巍巍青山，静静流淌的小河；耳旁是一片的静谧，只偶尔闻得远处传来的船工号声……月亮湾，美在自然，美在自然的景观、自然的山水。这里还被多家电影制片厂选为外景拍摄基地，《渡江侦察记》、《月亮湾的笑声》、《月亮湾的风波》等优秀影视作品都曾在此拍摄外景。 
锤子,锤子手机,锤子手机是由罗永浩创办的锤子科技研发的一款中高端智能手机。“锤子手机”是指由锤子科技（北京）有限公司设计与研发的一系列高端智能手机。锤子手机采用基于Android定制的SmartisanOS智能手机操作系统。 2018年5月15日锤子科技在北京国家体育场“鸟巢”发布了全新旗舰手机——坚果R1。R1全球首款搭载1TBROM硬件的智能手机，最高版本售价8848元。 
美盛,美盛,美盛（MISSION）电子国际有限公司成立于1992年，是国际知名的电子组件独立分销商。公司专注于为世界500强等电子企业提供优势的电子组件分销商服务，并成为全球众多知名客户的首选现货合作伙伴。
华盛,华盛,联通华盛通信有限公司成立于2008年8月19日，是中国联合网络通信有限公司的全资子公司，主要负责手机、上网卡、平板电脑、家庭网关等通信终端产品及中国联通业务的销售与服务。公司总部设在北京，在全国31个省（直辖市、自治区）和200多个地市设立分公司（办事处）。
东方海洋,东方海洋,山东东方海洋科技股份有限公司是经山东省经济体制改革办公室鲁体改函字61号《山东省股份有限公司批准证书》批准。它是由烟台东方海洋开发有限公司（现更名为“山东东方海洋集团有限公司”）作为主要发起人，联合北京恒百锐商贸有限公司、烟台市金源科技有限责任公司及车轼等10名自然人共同发起设立的股份有限公司。
丰收蟹庄,丰收蟹庄,丰收蟹庄，成立于2002年，是一家上海食品企业品牌 。公司成立以来，便十分注重品牌的维护和发展，不断创新。先后在上海和北京设立4家门店并在上海市嘉定区成立了生产工厂。
我买网,中粮我买网,中粮我买网是由世界500强企业中粮集团有限公司于2009年投资创办的食品类B2C电子商务网站。中粮我买网致力于打造中国最大、最安全的食品购物网站。我买网坚持的使命是让更多用户享受到更便捷的购物，吃上更放心的食品。中粮我买网商品包括：休闲食品、粮油、冲调品、饼干蛋糕、婴幼食品、果汁饮料、酒类、茶叶、调味品、方便食品和早餐食品等百种品类。是办公室白领、居家生活和年轻一族的首选食品网络购物网站。
晓龙,晓龙,晓龙属（属名：Xiaosaurus）又名膮龙或小龙，是种小型、二足、草食性恐龙，智商极低，股骨长11厘米，被推测身长约1米。晓龙生存于中侏罗纪巴提阶的中国四川盆地，接近1亿6900万年前到1亿6300万年前。
海洋岛,海洋岛,海洋岛，是长山群岛外岛最远的一个海岛，全岛面积18.98平方公里，距大连港76海里，距离县政府所在地大长山岛34海里。海洋岛自然风光优美、空气清新、气候宜人、海水清澈无污染——是大连最清洁的海域之一，远离喧闹的城市，是难得的海浴、垂钓、休闲、度假和疗养胜地。
沧海笑,沧海笑,《沧海笑》是由北京天神互动科技有限公司开发，37wan、TS100以及05wan首发联运的网页游戏。 2012年6月发布。游戏采用全新Flash技术，糅合角色养成、江湖历练、阵营对抗等诸多经典游戏元素。故事剧情结合PVP、PVE等多种玩法，拥有规模宏大的帮会战争和强大的游戏交互性，帮派之间的帮会战，通过帮派贡献、帮派图腾、帮派任务、帮派武学、帮派升级等系统功能大大强化传统帮派系统的凝聚力和吸引力，除此之外游戏还提供了探险、打坐、挂机、离线闭关经验等各种休闲玩法。人物技能丰富多样，注重游戏操作性。目前游戏已经签下武侠名曲《笑红尘》，并将其改编为游戏同名主题曲《沧海笑》。
大希地,塔希提岛,塔希提岛（Tahiti），港台译为大溪地，是法属波利尼西亚向风群岛中的最大岛屿，位于南太平洋。这里四季温暖如春、物产丰富。居民称自己为“上帝的人”，外国人则认为这里是“最接近天堂的地方”。波利尼西亚（Polynesia）意指”许多的岛”，其范围西起从汤加、库克群岛、波利尼西亚群岛、到东南的皮特凯恩群岛。这些地方的人有着共同的语言、共同的祖先，如夏威夷土著和新西兰的毛利人，这些祖先皆可追溯几千年前的太平洋移民。
隆洋,隆洋,隆洋，安徽省六安市人，毕业于阜阳师范学院。因平时爱好唱歌，2010年参加湖南卫视大型歌唱选秀节目《快乐男声》并进入南京赛区前50强。
沈志雄,沈志雄,沈志雄，男，汉族，1966年6月出生，福建漳州人，1987年8月参加工作，1995年11月入党，大学学历。现任漳州市东山县委委员、常委、组织部部长、党校校长，县非公党工委书记，漳州行政学院副院长。 
鑫玉龙,鑫玉龙,鑫玉龙企业是由香港鑫玉龙集团控股有限公司、深圳市鑫玉龙建筑装饰设计工程有限公司、深圳市鑫玉龙投资发展有限公司、中国室内设计研究院、中国西北商会等联合组织是集投资建设、服务企业、企业整合管理等；并成功有效的建立了以深圳总部为核心与其所属公司开展横向联合、纵向发展的连动机制，实现了企业连锁、资源整合、信息共享、友好合作、和谐发展之构想，现已成为全国装饰行业中的屈指可数的名优企业。
51,51,51成立于2005年8月，是目前中国最大的社交网站。
轩农谷,轩农谷,轩农谷是宁波轩农谷食品有限公司于2010年推出的互联网生鲜品牌，核心产品理念是“健康、新鲜、天然”。轩农谷的故事从一颗杨梅开始，2005年，轩农谷创始人吃到亲戚送来的仙居东魁杨梅，被仙居东魁杨梅出众的口感所折服，遂回乡承包山地种植杨梅，开始通过互联网销售真空装杨梅。2010年，宁波轩农谷食品有限公司成立，公司着力打造轩农谷品牌，并在浙江、山东两地建立季节性农产品生产采购基地，开始烟台大樱桃、三门青蟹、象山海鲜等季节性农产品的研发与销售。
莲花岛,莲花岛,莲花岛位于江苏省阳澄湖西湖、中湖、东湖中心，面积约3平方千米，形似一朵盛开的莲花镶嵌在湖中，因此得名“莲花岛”。岛上住着200多户人家，约1200人，多以养殖大闸蟹为业。岛上只有人走的路，没有汽车、摩托车等交通工具。家家户户有好几条船，小船、挂浆船、汽艇，蟹农平时出行就用小汽艇，每个汽艇6万多元。苏州市政府为了保护阳澄湖水源，莲花岛外围用来养蟹的围网已经全部拆除，只留下阳澄湖莲花岛岛上原住民在养蟹，继续着阳澄湖大闸蟹的传奇。
盖世,盖世,《盖世》的作者是我吃大老虎，属于东方玄幻类型。由说频文化发行繁体版并更名为《盖世魔王》，共十三册。
沃丰,沃丰,沃丰广州有限公司通过从事技通信技术与设备、传统与移动互联网、会展、广告传媒、软装以及其他领域的多种创新开拓，与伙伴开放合作和开辟多元空间。
网易严选,网易严选,网易严选，网易旗下原创生活类自营电商品牌，于2016年4月正式面世，是国内首家ODM（原始设计制造商）模式的电商，以“好的生活，没那么贵”为品牌理念。严选通过ODM模式与大牌制造商直连，剔除品牌溢价和中间环节，为国人甄选高品质、高性价比的天下优品。 
一哥鲍鱼,一哥鲍鱼,一哥鲍鱼创立于1997年香港回归日，秉持世界御厨杨贯一先生：“回归后，让内地高端人士宴请贵宾及家宴时，也可以品尝到原汁原味，如同一哥煲制的顶级干鲍鱼。”这一愿景而推出的鲍鱼美食高端定制品牌。
唐人基,唐人基,唐人基属于上海泰林食品 旗下品牌，主要产品有澳门豆捞酱油、唐人基豆捞 专供酱油、唐人基宝宝酱油，还有与之相对应的唐人基旗舰店。泰林2014年9月重磅出击唐人基韩式芝士年糕 ，取名“有芯年糕”，而且在韩国年糕的基础上进行了改良，大小、芯的口味都更加适合大陆口味，现已经引领风潮 。
冷江,冷江,
贝哥,贝哥,人物特点：阳光活力型男人，很有礼貌也比较温和，略带自信和自负，不时喜欢开个小玩笑幽默一下。说话阳光活力幽默。星座：处女座。生日：8月30日。血型：O型。年龄：28岁。生肖：牛。身高：180公分。体重：80公斤。职业：足球明星。
三益,三益,三益有机网上商城是长沙市第一家实现有机蔬菜在线订购、在线支付、当日订购当日配送的有机商城，登录三益有机商城即可在线订购新鲜、健康、营养的有机蔬菜。网上商城中可以看到三益有机农场每种蔬菜的种植细节图片和种植日志，实时监控每个地块的工作情况，包括人工除草、施用有机肥和物理生物除虫等，此外还有食疗养生和创意厨房的相关知识。
波澜,波澜,波澜是一个汉语词汇，亦作“波滥”，读音为bōlán。释义为1.波涛。2.波浪翻腾。3.比喻诗文的跌宕起伏。4.比喻起伏变化的思潮。5.比喻世事的起伏变化。
秦楚源,秦楚源,秦楚源，地区西安市，人均价格38
四海,四海,《四海》是小皇帝所唱的儿歌。
不等,不等,不等，是一个汉语词语，通常是指不一样；不同的意思。
固城湖,固城湖,固城湖位于南京市高淳区，因湖滨古“固城”而得名，俗称小南湖，是水阳江下游一座天然滞蓄山洪的调节湖泊，为江苏省饮用水水质最好的天然湖泊，主要进水河流为胥河，具有丰富的自然饵料，适宜养殖中华绒螯蟹，成为高淳农业的支柱产业。固城湖的前身原为海滨的一个泻湖，可在湖之东岩和花山一带的石灰岩上发现和采集到当时的珊瑚化石，史称丹阳大泽。后经江河泥沙长年累月的冲积，出现了一处处的湖滩；再经历代人们的围垦，便将大泽分割成了丹阳、石臼、固城三湖。其中唯有固城湖为高淳区所拥有的湖泊，现存面积约30多平方公里，水质清纯，盛产鱼虾、菱角。 
大纵湖,大纵湖, 大纵湖位于江苏省盐城市盐都区、泰州市兴化两地，当地又名平湖，为古射阳湖经分化解体后的残迹湖之一。地处里下河平原腹地，是运东湖群中地势最为低下的地区。湖形略近椭园形，湖面面积为36.783平方公里，盐城境内面积为19.772平方公里，占总水域面积的53.75%，属碳酸盐类钠组Ⅰ型淡水湖。
农谣,农谣,春雨初晴水拍堤，村南村北鹁鸪啼。池塘水满蛙成市，门巷春深燕作家。
五杀,五杀,五杀通常指英雄联盟、王者荣耀或个别FPS游戏中，在一定时间内一人连续击杀对方五人。一般来说绝大部分英雄大招使用妥当都能获得五杀。
福字号,福字号,《福字号》是一款Android平台的应用。
当年故事,当年故事,
维桑,维桑,维桑，读音wéisāng，汉语词语，指代故乡。如：《诗·小雅·小弁》：“维桑与梓，必恭敬止。”
水尊,水尊,《水尊》是夜漆黑创作的网络小说，发表于起点网。
仙缘,仙缘,仙缘（xiānyuán）是一个汉语词语，指道家谓修道成仙的缘分，出自宋朝孔道的《访奇道仙》。
AJ,AIR JORDAN,AIRJORDAN系列球鞋在销量与市场需求方面遥遥领先于其它产品，每年为整个运动鞋行业树立起一个又一个更高的设计、创新与功能标杆。系列产品的核心在于，运动员与技术的完美结合–篮球史上最耀眼的巨星迈克尔·乔丹，以及伴随巨星经历辉煌事业的篮球鞋，突显出他对功能、创新与成就的不懈追求。
不知火丑柑,不知火丑柑,不知火丑柑又称：不知火， 凸顶柑，丑柑，丑八怪，丑橘，等叫法。是由日本农水省园艺试验场于1972年以清见与中野3号椪柑杂交育成。采用高接换种技术嫁接后 ，不知火杂柑在川西盆地表现为果实大，平均果重200克，最大400克以上。果实倒卵形，多有突起短颈；果皮黄橙色，10月上旬开始着色，12月上旬完全着色；果皮黄橙色，果面稍粗，易剥皮，果汁糖度在13%以上，最高达17%，味极甜；次年2～3月成熟，风味极好。 
洋口港,洋口港,洋口港是位于江苏省如东县长沙镇及其外海的一座离岸型深水港。其位于长江口北翼，利用古长江入海口水道通向黄海国际航路。目前由阳光岛海上作业区、长沙镇临港工业区及黄海大桥等陆海配套设施组成。洋口港在如东县社会发展中具有举足轻重的地位，“港口引领”是县域经济的首要战略。洋口港在完成第一个十年开发周期后，起步区完成了相当规模的基础设施建设及中石油等重点产业项目的投产，初步实现了产出回报。2014年8月10日，国务院同意如东洋口港对外实现一类口岸开放。对外开放共6910米岸线，15个泊位；设立正团级边防检查机构和正处级海事、海关、出入境检验检疫机构。
阿里巴巴,阿里巴巴集团,阿里巴巴网络技术有限公司（简称：阿里巴巴集团）是以曾担任英语教师的马云为首的18人于1999年在浙江杭州创立。 阿里巴巴集团经营多项业务，另外也从关联公司的业务和服务中取得经营商业生态系统上的支援。业务和关联公司的业务包括：淘宝网、天猫、聚划算、全球速卖通、阿里巴巴国际交易市场、1688、阿里妈妈、阿里云、蚂蚁金服、菜鸟网络等。 2014年9月19日，阿里巴巴集团在纽约证券交易所正式挂牌上市，股票代码“BABA”，创始人和董事局主席为马云。2016年8月，阿里巴巴集团在"2016中国企业500强"中排名第148位。 2017年1月19日，国际奥林匹克委员会与阿里巴巴集团在瑞士达沃斯联合宣布，双方达成期限直至2028年的长期合作。阿里巴巴将加入奥林匹克全球合作伙伴（TheOlympicPartner、“TOP”）赞助计划，成为“云服务”及“电子商务平台服务”的官方合作伙伴，以及奥林匹克频道的创始合作伙伴。 2018年2月5日，万达集团公告，阿里巴巴集团、文投控股股份有限公司与万达集团在北京签订战略投资协议，阿里巴巴、文投控股以每股51.96元收购万达集团持有的万达电影12.77%的股份。2018年2月11日，北京居然之家投资控股集团有限公司与阿里巴巴集团共同宣布达成新零售战略合作：阿里巴巴以及关联投资方向居然之家投资54.53亿元人民币，持有其15%的股份。 2018年4月20日，阿里巴巴集团宣布全资收购中天微系统有限公司。 5月8日，巴基斯坦电商公司Daraz宣布被阿里巴巴集团全资收购。 
